dataset,id,kind,parentId,label,source,mapX,mapY,s3mX,s3mY,longitude,latitude,geometryType,geometryJson
park_entrance_point,park-west,park,,西侧道路入口,frontend.realMapAssets.entrances,238,235,-1243.588,380.007,118.78252216,32.03788897,Point,"{""type"":""Point"",""coordinates"":[238,235]}"
park_entrance_point,park-east,park,,东侧道路入口,frontend.realMapAssets.entrances,1228,684,263.575,-572.051,118.79301351,32.03385555,Point,"{""type"":""Point"",""coordinates"":[1228,684]}"
park_entrance_point,park-north,park,,北侧道路入口,frontend.realMapAssets.entrances,1218,230,248.351,390.609,118.79290753,32.03793388,Point,"{""type"":""Point"",""coordinates"":[1218,230]}"
park_entrance_point,park-south,park,,南侧道路入口,frontend.realMapAssets.entrances,1218,682,248.351,-567.81,118.79290753,32.03387352,Point,"{""type"":""Point"",""coordinates"":[1218,682]}"
park_entrance_point,building-pa-west-north,building,pa-west-north,西北生产装置区 边界点,frontend.realMapAssets.entrances,248,340,-1228.364,157.365,118.78262813,32.03694574,Point,"{""type"":""Point"",""coordinates"":[248,340]}"
park_entrance_point,building-pa-west-south,building,pa-west-south,西南储罐与泵区 边界点,frontend.realMapAssets.entrances,248,551,-1228.364,-290.038,118.78262813,32.03505031,Point,"{""type"":""Point"",""coordinates"":[248,551]}"
park_entrance_point,building-pa-center-north,building,pa-center-north,中北厂房装置区 边界点,frontend.realMapAssets.entrances,588,340,-710.753,157.365,118.78623122,32.03694574,Point,"{""type"":""Point"",""coordinates"":[588,340]}"
park_entrance_point,building-pa-center-south,building,pa-center-south,中南反应装置区 边界点,frontend.realMapAssets.entrances,588,551,-710.753,-290.038,118.78623122,32.03505031,Point,"{""type"":""Point"",""coordinates"":[588,551]}"
park_entrance_point,building-tw-center,building,tw-center,中东塔器与罐组区 边界点,frontend.realMapAssets.entrances,856,462,-302.753,-101.323,118.7890713,32.0358498,Point,"{""type"":""Point"",""coordinates"":[856,462]}"
park_entrance_point,building-ut-center,building,ut-center,公用工程与管廊区 边界点,frontend.realMapAssets.entrances,760,462,-448.902,-101.323,118.78805396,32.0358498,Point,"{""type"":""Point"",""coordinates"":[760,462]}"
park_entrance_point,building-pb-north-tank,building,pb-north-tank,东北罐组与管汇区 边界点,frontend.realMapAssets.entrances,956,337,-150.514,163.727,118.79013103,32.03697269,Point,"{""type"":""Point"",""coordinates"":[956,337]}"
park_entrance_point,building-pb-mid-process,building,pb-mid-process,东中生产与污水装置区 边界点,frontend.realMapAssets.entrances,956,478,-150.514,-135.249,118.79013103,32.03570607,Point,"{""type"":""Point"",""coordinates"":[956,478]}"
park_entrance_point,building-wh-logistics,building,wh-logistics,东南仓储物流区 边界点,frontend.realMapAssets.entrances,1076,599,32.172,-391.817,118.79140271,32.03461912,Point,"{""type"":""Point"",""coordinates"":[1076,599]}"
park_entrance_point,building-fs-east-yard,building,fs-east-yard,东侧应急与装卸边界区 边界点,frontend.realMapAssets.entrances,984,599,-107.888,-391.817,118.79042776,32.03461912,Point,"{""type"":""Point"",""coordinates"":[984,599]}"
