dataset,id,roadId,fromNode,toNode,main,length_m,direction,source,networkReady,mapX,mapY,s3mX,s3mY,longitude,latitude,geometryType,geometryJson
park_road_network_edge,road-north-main-edge-01,road-north-main,node-001,node-002,true,238,horizontal,derived_from_road_centerlines,true,119,236,-1424.752,377.887,118.78126108,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[0,236],[238,236]]}"
park_road_network_edge,road-north-main-edge-02,road-north-main,node-002,node-003,true,161,horizontal,derived_from_road_centerlines,true,318.5,236,-1121.036,377.887,118.78337525,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[238,236],[399,236]]}"
park_road_network_edge,road-north-main-edge-03,road-north-main,node-003,node-004,true,276,horizontal,derived_from_road_centerlines,true,537,236,-788.395,377.887,118.78569076,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[399,236],[675,236]]}"
park_road_network_edge,road-north-main-edge-04,road-north-main,node-004,node-005,true,93,horizontal,derived_from_road_centerlines,true,721.5,236,-507.514,377.887,118.78764596,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[675,236],[768,236]]}"
park_road_network_edge,road-north-main-edge-05,road-north-main,node-005,node-006,true,180,horizontal,derived_from_road_centerlines,true,858,236,-299.708,377.887,118.7890925,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[768,236],[948,236]]}"
park_road_network_edge,road-north-main-edge-06,road-north-main,node-006,node-007,true,127,horizontal,derived_from_road_centerlines,true,1011.5,236,-66.022,377.887,118.79071919,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[948,236],[1075,236]]}"
park_road_network_edge,road-north-main-edge-07,road-north-main,node-007,node-008,true,152,horizontal,derived_from_road_centerlines,true,1151,236,146.351,377.887,118.79219751,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[1075,236],[1227,236]]}"
park_road_network_edge,road-north-main-edge-08,road-north-main,node-008,node-009,true,360.2,horizontal,derived_from_road_centerlines,true,1407.1,236,536.234,377.887,118.79491148,32.03787999,LineString,"{""type"":""LineString"",""coordinates"":[[1227,236],[1587.2,236]]}"
park_road_network_edge,road-south-main-edge-01,road-south-main,node-010,node-011,true,238,horizontal,derived_from_road_centerlines,true,119,689,-1424.752,-582.653,118.78126108,32.03381064,LineString,"{""type"":""LineString"",""coordinates"":[[0,689],[238,689]]}"
park_road_network_edge,road-south-main-edge-02,road-south-main,node-011,node-012,true,989,horizontal,derived_from_road_centerlines,true,732.5,689,-490.768,-582.653,118.78776253,32.03381064,LineString,"{""type"":""LineString"",""coordinates"":[[238,689],[1227,689]]}"
