dataset,id,type,degree,x_m,y_m,source,mapX,mapY,s3mX,s3mY,longitude,latitude,geometryType,geometryJson
park_road_network_node,node-001,endpoint_or_junction,1,0,236,derived_from_road_centerlines,0,236,-1605.916,377.887,118.78,32.03787999,Point,"{""type"":""Point"",""coordinates"":[0,236]}"
park_road_network_node,node-002,intersection,4,238,236,derived_from_road_centerlines,238,236,-1243.588,377.887,118.78252216,32.03787999,Point,"{""type"":""Point"",""coordinates"":[238,236]}"
park_road_network_node,node-003,intersection,4,399,236,derived_from_road_centerlines,399,236,-998.484,377.887,118.78422833,32.03787999,Point,"{""type"":""Point"",""coordinates"":[399,236]}"
park_road_network_node,node-004,intersection,4,675,236,derived_from_road_centerlines,675,236,-578.305,377.887,118.78715319,32.03787999,Point,"{""type"":""Point"",""coordinates"":[675,236]}"
park_road_network_node,node-005,intersection,4,768,236,derived_from_road_centerlines,768,236,-436.723,377.887,118.78813874,32.03787999,Point,"{""type"":""Point"",""coordinates"":[768,236]}"
park_road_network_node,node-006,intersection,4,948,236,derived_from_road_centerlines,948,236,-162.693,377.887,118.79004626,32.03787999,Point,"{""type"":""Point"",""coordinates"":[948,236]}"
park_road_network_node,node-007,intersection,4,1075,236,derived_from_road_centerlines,1075,236,30.65,377.887,118.79139212,32.03787999,Point,"{""type"":""Point"",""coordinates"":[1075,236]}"
park_road_network_node,node-008,intersection,4,1227,236,derived_from_road_centerlines,1227,236,262.053,377.887,118.79300291,32.03787999,Point,"{""type"":""Point"",""coordinates"":[1227,236]}"
park_road_network_node,node-009,endpoint_or_junction,1,1587.2,236,derived_from_road_centerlines,1587.2,236,810.416,377.887,118.79682006,32.03787999,Point,"{""type"":""Point"",""coordinates"":[1587.2,236]}"
park_road_network_node,node-010,endpoint_or_junction,1,0,689,derived_from_road_centerlines,0,689,-1605.916,-582.653,118.78,32.03381064,Point,"{""type"":""Point"",""coordinates"":[0,689]}"
park_road_network_node,node-011,intersection,4,238,689,derived_from_road_centerlines,238,689,-1243.588,-582.653,118.78252216,32.03381064,Point,"{""type"":""Point"",""coordinates"":[238,689]}"
